date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2023-11-18,11.2,6.82,6.55,1.9,,-4,96,89.6,88,80,8.7,5.2,3.8,-1,36,26.62,25,14,70,19,102.27,102.02,101.9,101.53,100.51,100.28,100.16,99.81,24100,24100,24100,24100,2,1.6,1.6,1.1,11.4,0,1.6,0,0,0,0,0,,07:10:00,1700304000,7.17,16:22:00,1700337120,16.37,9.2,1,1,12,12,9,9,,,,,,8,6.3,5,2,,,,
2023-11-17,3.1,0.64,0.65,-1.8,,-5,98,92,91.5,85,2.3,-0.5,-0.9,-4.1,18,11.21,11,4,32,22,102.36,101.87,101.8,101.23,100.6,100.11,100.04,99.48,24100,24100,24100,24100,2.2,1.6,1.7,1.2,17.4,0,0,0,0,0.6,0.6,0,,07:08:00,1700217480,7.13,16:23:00,1700250780,16.38,9.25,1,1,3,3,0,0,,,,,,8,7,5,2,,,,
2023-11-16,1.4,-0.71,-0.35,-2.1,,-7,84,78.2,78,72,-3.4,-4.1,-4.3,-5.2,27,14.21,16,5,34,1,101.84,101.59,101.54,101.25,100.08,99.83,99.79,99.5,24100,24100,24100,24100,2.6,2.2,2.1,1.6,18.4,0,0,0,0,0,0,0,,07:07:00,1700131020,7.12,16:24:00,1700164440,16.4,9.28,1,1,0,0,-3,-2,,,,,,8,7.7,7,6,,,,
2023-11-15,0.2,-0.72,-0.8,-1.8,,-8,81,73,74,67,-3.3,-5,-4.8,-6.4,26,20.21,17,8,43,6,102.29,102.08,102.06,101.83,100.52,100.32,100.29,100.07,24100,24100,24100,24100,2.6,2.2,2.2,1.8,18.8,0,0,0,0,0,0,0,0,07:05:00,1700044500,7.08,16:25:00,1700078100,16.42,9.33,1,1,0,0,-4,-4,,,,,,8,7.6,7,6,,,,
2023-11-14,0.1,-0.88,-0.64,-1.4,,-6,89,77,81,73,-2.3,-4.4,-3.8,-5.2,22,11.46,13,4,31,35,102.07,101.99,101.99,101.9,100.31,100.23,100.22,100.14,24100,24100,24100,24100,1.8,1.6,1.6,1.5,18.6,0,0,0,0,0.4,0,0.4,0,07:04:00,1699958040,7.07,16:26:00,1699991760,16.43,9.37,1,1,0,0,-1,-1,,,,,,8,7.9,7.5,7,,,,
2023-11-13,-0.4,-1.6,-1.5,-2.6,,-9,85,78.8,80,75,-3.6,-4.8,-4.8,-6.1,25,15.46,16,7,32,33,101.97,101.84,101.86,101.74,100.21,100.08,100.1,99.98,24100,24100,24100,24100,2,1.8,1.8,1.6,19.5,0,0,0,0,0,0,0,0,07:02:00,1699871520,7.03,16:27:00,1699905420,16.45,9.42,1,1,0,0,-5,-5,,,,,,8,7.8,6.5,5,,,,
2023-11-12,1.1,-0.22,-0.8,-2.7,,-8,98,90,88.5,79,0.9,-1.7,-2.4,-5.6,28,21.58,20,12,43,35,101.76,101.5,101.38,101,100,99.75,99.63,99.26,24100,18045.8,14050,4000,1.8,1.7,1.7,1.6,18.8,0,0,0,0,2.6,0,4.2,0,07:01:00,1699785060,7.02,16:28:00,1699819080,16.47,9.45,,,1,1,-5,-2,,,,,,8,7.8,7,6,,,,
2023-11-11,2.6,1.34,1.5,0.4,,,97,95.1,94.5,92,1.8,0.6,0.9,0,43,34.21,34.5,26,64,31,100.93,100.37,100.42,99.92,99.2,98.65,98.7,98.2,24100,16941.7,13650,3200,1.7,1.6,1.6,1.5,16.5,0,0,0,0,12,1.6,12.2,1,07:00:00,1699698600,7,16:30:00,1699732800,16.5,9.5,,,3,3,1,1,,,,,,8,8,7.5,7,,,,
2023-11-10,3.8,2.3,2.25,0.7,,,97,89.6,89.5,82,1.4,0.8,0.8,0.1,53,39.67,40.5,28,75,32,99.99,99.79,99.61,99.23,98.27,98.07,97.9,97.53,24100,23700,21700,19300,1.9,1.8,1.8,1.6,15.8,0,0,0,0,2.6,0.8,1.8,0,06:58:00,1699612080,6.97,16:31:00,1699646460,16.52,9.55,1,1,5,5,2,2,,,,,,8,7.6,7.5,7,,,,
2023-11-09,6.3,4.5,4.15,2,,,100,98.1,97.5,95,6.4,4.2,3.9,1.4,46,24.21,23.5,1,76,33,99.3,99.08,99.07,98.83,97.61,97.38,97.38,97.14,24100,11279.2,12350,600,2,1.7,1.8,1.5,13.8,0,0,0,0,5.4,5.4,0,,06:56:00,1699525560,6.93,16:32:00,1699560120,16.53,9.6,1,1,8,8,3,3,,,,,,8,7.7,6,4,,,,
2023-11-08,6.5,5.34,4.84,3.2,,,100,97.8,93,86,6.4,5,4.7,2.9,47,25.62,24,1,66,13,101.56,100.35,100.47,99.39,99.82,98.63,98.76,97.69,24100,10825,12150,200,2.1,1.9,1.9,1.7,13.2,0,0,0,0,24.7,24.7,0,,06:55:00,1699439100,6.92,16:34:00,1699473840,16.57,9.65,,,10,11,7,7,,,,,,8,6.5,5.5,3,,,,
2023-11-07,5.4,1.98,2.45,-0.5,,-5,83,66.4,68.5,54,2.1,-3.7,-1.9,-5.8,32,17.5,20,8,53,16,102.22,102.02,101.95,101.68,100.46,100.27,100.2,99.94,24100,24100,24100,24100,2,1.8,1.8,1.6,15.6,0,0,0,0,0.4,0.4,0,,06:53:00,1699352580,6.88,16:35:00,1699387500,16.58,9.7,1,2,4,4,1,2,,,,,,8,7,6.5,5,,,,
2023-11-06,7.1,2.41,3.45,-0.2,,-6,99,69.6,73,47,7.7,-3,-0.2,-8,37,26.71,28,19,60,30,101.78,101.13,101.08,100.39,100.03,99.4,99.36,98.68,24100,24100,24100,24100,1.9,1.7,1.7,1.5,14.6,0,0,0,0,0.6,0.6,0,,06:52:00,1699266120,6.87,16:36:00,1699301160,16.6,9.73,2,2,2,2,1,1,,,,,,8,5,5,2,,,,
2023-11-05,9.6,7.94,8.1,6.6,,,100,95.3,91.5,83,9.4,7.2,7.6,5.8,24,13.44,12.5,1,44,29,101.84,101.38,101.16,100.49,100.11,99.66,99.44,98.78,24100,18624,12250,400,2.3,2,2,1.6,9.9,0,3.1,1.1,0,6.7,6.7,0,,06:50:00,1699179600,6.83,16:38:00,1699214880,16.63,9.8,1,1,10,10,2,2,,,,,,8,7.2,5,2,,,,
2023-11-04,11.3,6.9,6.55,1.8,,,93,81.8,80,67,8.2,3.9,4.3,0.4,43,26.96,26.5,10,72,23,103.14,102.4,102.44,101.73,101.38,100.66,100.69,100,24100,24100,24100,24100,2.2,1.5,1.7,1.2,11.4,0,1.6,0,0,0.2,0.2,0,,07:49:00,1699093140,7.82,17:39:00,1699128540,17.65,9.83,1,1,10,10,6,6,,,,,,8,7.1,5.5,3,,,,
