date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-11-19,3.9,5.26,450,"1993-11-12 2022-11-26",93.39,7.1,450,"1993-11-12 2022-11-26",6.18,4.46,450,"1993-11-12 2022-11-26",38.39,12.82,450,"1993-11-12 2022-11-26",-3.03,5.03,450,"1993-11-12 2022-11-26",72.23,14.62,450,"1993-11-12 2022-11-26",-0.36,3.68,450,"1993-11-12 2022-11-26",10.16,8.22,450,"1993-11-12 2022-11-26",5.11,9.8,450,"1993-11-12 2022-11-26",4.41,9.55,443,"1993-11-12 2022-11-26",0.76,2.47,448,"1993-11-12 2022-11-26",0.9,2.92,356,"1993-11-12 2022-11-26",,,,
2023-11-18,3.99,5.29,450,"1993-11-11 2022-11-25",93.32,7.26,450,"1993-11-11 2022-11-25",6.3,4.43,450,"1993-11-11 2022-11-25",38.55,12.93,450,"1993-11-11 2022-11-25",-2.89,5.05,450,"1993-11-11 2022-11-25",72.19,14.5,450,"1993-11-11 2022-11-25",-0.23,3.7,450,"1993-11-11 2022-11-25",10.26,8.44,450,"1993-11-11 2022-11-25",5.11,9.78,450,"1993-11-11 2022-11-25",4.39,9.51,444,"1993-11-11 2022-11-25",0.76,2.47,449,"1993-11-11 2022-11-25",0.8,2.67,352,"1993-11-11 2022-11-25",,,,
2023-11-17,4.18,5.17,450,"1993-11-10 2022-11-24",93.45,7.22,450,"1993-11-10 2022-11-24",6.49,4.34,450,"1993-11-10 2022-11-24",38.26,12.86,450,"1993-11-10 2022-11-24",-2.7,4.99,450,"1993-11-10 2022-11-24",72.11,14.42,450,"1993-11-10 2022-11-24",-0.07,3.63,450,"1993-11-10 2022-11-24",10,8.44,450,"1993-11-10 2022-11-24",5.11,9.77,450,"1993-11-10 2022-11-24",4.4,9.49,444,"1993-11-10 2022-11-24",0.75,2.48,449,"1993-11-10 2022-11-24",0.7,2.35,348,"1993-11-10 2022-11-24",,,,
2023-11-16,4.32,5.17,450,"1993-11-09 2022-11-23",93.39,7.32,450,"1993-11-09 2022-11-23",6.67,4.3,450,"1993-11-09 2022-11-23",38.06,13.02,450,"1993-11-09 2022-11-23",-2.52,4.91,450,"1993-11-09 2022-11-23",72.09,14.59,450,"1993-11-09 2022-11-23",0.1,3.53,450,"1993-11-09 2022-11-23",9.88,8.24,450,"1993-11-09 2022-11-23",5.07,9.9,450,"1993-11-09 2022-11-23",4.46,9.65,444,"1993-11-09 2022-11-23",0.63,2.05,449,"1993-11-09 2022-11-23",0.6,1.99,343,"1993-11-09 2022-11-23",,,,
2023-11-15,4.52,5.21,450,"1993-11-08 2022-11-22",93.45,7.29,450,"1993-11-08 2022-11-22",6.88,4.33,450,"1993-11-08 2022-11-22",38.02,13.2,450,"1993-11-08 2022-11-22",-2.34,4.82,450,"1993-11-08 2022-11-22",72.03,14.52,450,"1993-11-08 2022-11-22",0.31,3.51,450,"1993-11-08 2022-11-22",9.91,8.34,450,"1993-11-08 2022-11-22",5.14,9.86,450,"1993-11-08 2022-11-22",4.57,9.62,443,"1993-11-08 2022-11-22",0.59,1.99,448,"1993-11-08 2022-11-22",0.5,1.91,342,"1993-11-08 2022-11-22",,,,
2023-11-14,4.78,5.25,450,"1993-11-07 2022-11-21",93.61,7.14,450,"1993-11-07 2022-11-21",7.14,4.39,450,"1993-11-07 2022-11-21",38.06,13.27,450,"1993-11-07 2022-11-21",-2.15,4.81,450,"1993-11-07 2022-11-21",72.08,14.53,450,"1993-11-07 2022-11-21",0.48,3.51,450,"1993-11-07 2022-11-21",9.9,8.33,450,"1993-11-07 2022-11-21",5.29,10,450,"1993-11-07 2022-11-21",4.71,9.75,444,"1993-11-07 2022-11-21",0.57,1.93,448,"1993-11-07 2022-11-21",0.5,1.79,340,"1993-11-07 2022-11-21",,,,
2023-11-13,4.85,5.25,450,"1993-11-06 2022-11-20",93.56,7.09,450,"1993-11-06 2022-11-20",7.28,4.41,450,"1993-11-06 2022-11-20",37.82,13.19,450,"1993-11-06 2022-11-20",-2.06,4.78,450,"1993-11-06 2022-11-20",71.92,14.36,450,"1993-11-06 2022-11-20",0.56,3.52,450,"1993-11-06 2022-11-20",9.71,8.14,450,"1993-11-06 2022-11-20",4.93,9.07,450,"1993-11-06 2022-11-20",4.4,8.76,444,"1993-11-06 2022-11-20",0.53,1.9,448,"1993-11-06 2022-11-20",0.5,1.9,339,"1993-11-06 2022-11-20",,,,
2023-11-12,4.82,5.25,450,"1993-11-05 2022-11-19",93.44,7.24,450,"1993-11-05 2022-11-19",7.33,4.4,450,"1993-11-05 2022-11-19",37.62,13.1,450,"1993-11-05 2022-11-19",-1.97,4.76,450,"1993-11-05 2022-11-19",71.43,14.41,450,"1993-11-05 2022-11-19",0.66,3.5,450,"1993-11-05 2022-11-19",9.61,8.17,450,"1993-11-05 2022-11-19",4.75,8.99,450,"1993-11-05 2022-11-19",4.21,8.7,443,"1993-11-05 2022-11-19",0.55,1.96,448,"1993-11-05 2022-11-19",0.6,2.15,335,"1993-11-05 2022-11-19",,,,
2023-11-11,5.06,5.21,450,"1993-11-04 2022-11-18",93.63,7.2,450,"1993-11-04 2022-11-18",7.58,4.39,450,"1993-11-04 2022-11-18",37.94,13.26,450,"1993-11-04 2022-11-18",-1.81,4.65,450,"1993-11-04 2022-11-18",71.44,14.26,450,"1993-11-04 2022-11-18",0.81,3.45,450,"1993-11-04 2022-11-18",9.69,8.24,450,"1993-11-04 2022-11-18",4.82,8.92,450,"1993-11-04 2022-11-18",4.27,8.62,443,"1993-11-04 2022-11-18",0.56,1.98,448,"1993-11-04 2022-11-18",0.6,2.18,332,"1993-11-04 2022-11-18",,,,
2023-11-10,5.24,5.2,450,"1993-11-03 2022-11-17",93.73,7.19,450,"1993-11-03 2022-11-17",7.76,4.4,450,"1993-11-03 2022-11-17",37.89,13.06,450,"1993-11-03 2022-11-17",-1.6,4.56,450,"1993-11-03 2022-11-17",71.46,14.11,450,"1993-11-03 2022-11-17",0.97,3.37,450,"1993-11-03 2022-11-17",9.72,8.16,450,"1993-11-03 2022-11-17",4.97,8.96,450,"1993-11-03 2022-11-17",4.43,8.69,444,"1993-11-03 2022-11-17",0.54,1.98,448,"1993-11-03 2022-11-17",0.6,2.21,327,"1993-11-03 2022-11-17",,,,
